Incoming,Outgoing,Node Count,Incoming (MB/s),Outgoing (MB/s),Node Count
1741230.61630219,1030945.32803181,6495,1.7412306163,1.030945328,6495
1483407.37051793,880223.107569721,6492,1.4834073705,0.8802231076,6492
1295701.96078431,1115288.23529412,6488,1.2957019608,1.1152882353,6488
1508063.74501992,1077104.58167331,6479,1.508063745,1.0771045817,6479
1477193.22709163,1297527.88844622,6480,1.4771932271,1.2975278884,6480
1446931.2749004,1236522.90836653,6471,1.4469312749,1.2365229084,6471
1391517.41293532,1359983.08457711,6469,1.3915174129,1.3599830846,6469
1646310.51587302,1187721.23015873,6483,1.6463105159,1.1877212302,6483
1664607.21247563,1183413.25536062,6491,1.6646072125,1.1834132554,6491
1564266.92836114,922126.594700687,6510,1.5642669284,0.9221265947,6510
1728694.38877756,1048865.73146293,6521,1.7286943888,1.0488657315,6521
1748600.78662734,959142.576204523,6532,1.7486007866,0.9591425762,6532
1629617.44301288,977504.459861249,6532,1.629617443,0.9775044599,6532
1536088.20798514,742479.108635098,6556,1.536088208,0.7424791086,6556
1503012.90963257,970497.517378352,6557,1.5030129096,0.9704975174,6557
1413450.0998004,771084.830339321,6561,1.4134500998,0.7710848303,6561
1445139.04761905,966440.952380952,6576,1.4451390476,0.9664409524,6576
1674247.26911619,940521.350546177,6579,1.6742472691,0.9405213505,6579
1829130.82259663,1089025.76808722,6591,1.8291308226,1.0890257681,6591
1710090.0990099,929212.871287129,6597,1.710090099,0.9292128713,6597
1607559.76095618,992368.525896414,6611,1.607559761,0.9923685259,6611
1677895.10489511,865920.07992008,6611,1.6778951049,0.8659200799,6611
1544325.83170254,851929.549902153,6606,1.5443258317,0.8519295499,6606
1767406.43863179,851567.404426559,6609,1.7674064386,0.8515674044,6609
1763807.96019901,996971.144278607,6605,1.7638079602,0.9969711443,6605
1553014.92537313,835110.447761194,6605,1.5530149254,0.8351104478,6605
1635787.12871287,1006998.01980198,6603,1.6357871287,1.0069980198,6603
1745087.38828203,806745.779543198,6601,1.7450873883,0.8067457795,6601
1674980.11928429,977107.355864811,6621,1.6749801193,0.9771073559,6621
1758493.11023622,805139.763779528,6617,1.7584931102,0.8051397638,6617
1762851.88866799,906983.10139165,6636,1.7628518887,0.9069831014,6636
1766610.28684471,757992.087042532,6639,1.7666102868,0.757992087,6639
1816896,945157,6657,1.816896,0.945157,6657
1699984.01598402,739360.63936064,6659,1.699984016,0.7393606394,6659
1663712.61261261,919138.738738739,6672,1.6637126126,0.9191387387,6672
1683010.97804391,852107.784431138,6672,1.683010978,0.8521077844,6672
1575812.56231306,970127.617148554,6675,1.5758125623,0.9701276171,6675
1884876.98412698,896540.674603175,6665,1.8848769841,0.8965406746,6665
1886913.34661355,958902.390438247,6661,1.8869133466,0.9589023904,6661
1798814.74103586,994750,6660,1.798814741,0.99475,6660
1476924.94136044,996381.548084441,6652,1.4769249414,0.9963815481,6652
2327986.48648649,1085589.18918919,6649,2.3279864865,1.0855891892,6649
1585709.45273632,1003865.67164179,6639,1.5857094527,1.0038656716,6639
1610234.82587065,775619.900497513,6638,1.6102348259,0.7756199005,6638
1866887.4501992,790097.609561753,6636,1.8668874502,0.7900976096,6636
1729612.32604374,626441.351888668,6635,1.729612326,0.6264413519,6635
1477039.80099503,751488.55721393,6634,1.477039801,0.7514885572,6634
1653522.90836653,713415.338645418,6628,1.6535229084,0.7134153386,6628
1602220.89552239,873018.905472637,6624,1.6022208955,0.8730189055,6624
1754795.81673307,709667.330677291,6622,1.7547958167,0.7096673307,6622
1615405.78265204,768633.100697906,6614,1.6154057827,0.7686331007,6614
1586845.44049459,676507.72797527,6609,1.5868454405,0.676507728,6609
1579409.3625498,751254.980079681,6607,1.5794093625,0.7512549801,6607
1493427.29083665,599444.22310757,6607,1.4934272908,0.5994442231,6607
1430060.69651741,910803.980099503,6606,1.4300606965,0.9108039801,6606
1411807.96019901,901956.218905473,6605,1.4118079602,0.9019562189,6605
1476661.03379722,912528.827037773,6599,1.4766610338,0.912528827,6599
1601316.41791045,692035.820895523,6597,1.6013164179,0.6920358209,6597
1360748.50894632,832153.081510934,6595,1.3607485089,0.8321530815,6595
1396565.73705179,843262.948207171,6593,1.3965657371,0.8432629482,6593
1417026.89243028,1168067.72908367,6591,1.4170268924,1.1680677291,6591
1545350.24875622,948770.149253732,6589,1.5453502488,0.9487701493,6589
1589676.61691542,997494.527363184,6578,1.5896766169,0.9974945274,6578
1415648.75621891,660620.895522388,6574,1.4156487562,0.6606208955,6574
1550978.13121272,881103.37972167,6574,1.5509781312,0.8811033797,6574
1512649.50495049,791186.138613861,6569,1.512649505,0.7911861386,6569
1555732.26773227,1078737.26273726,6567,1.5557322677,1.0787372627,6567
1516199.00497512,953411.940298508,6564,1.516199005,0.9534119403,6564
1703921.39303483,1035939.30348259,6563,1.703921393,1.0359393035,6563
1600656.71641791,958356.218905473,6560,1.6006567164,0.9583562189,6560
1603802.78884462,1055581.67330677,6560,1.6038027888,1.0555816733,6560
1663826.69322709,863172.310756972,6560,1.6638266932,0.8631723108,6560
1568972.22222222,972126.984126984,6558,1.5689722222,0.9721269841,6558
1526486.05577689,812462.151394422,6557,1.5264860558,0.8124621514,6557
1407771.9123506,952270.916334661,6557,1.4077719124,0.9522709163,6557
1559257.71144279,870769.154228856,6557,1.5592577114,0.8707691542,6557
1594386.45418327,897097.609561753,6553,1.5943864542,0.8970976096,6553
1581697.90628116,755739.780658026,6552,1.5816979063,0.7557397807,6552
1482769.92031873,694793.824701195,6550,1.4827699203,0.6947938247,6550
1674743.02788845,675573.705179283,6548,1.6747430279,0.6755737052,6548
1475974.18073486,595049.652432969,6546,1.4759741807,0.5950496524,6546
1549077.68924303,818986.055776892,6541,1.5490776892,0.8189860558,6541
1580282.30616302,719813.121272366,6539,1.5802823062,0.7198131213,6539
1470797.80876494,806755.976095618,6537,1.4707978088,0.8067559761,6537
1526946.26865672,665372.139303483,6536,1.5269462687,0.6653721393,6536
1442756.67655786,721259.149357072,6535,1.4427566766,0.7212591494,6535
1580626.62662663,719996.996996997,6535,1.5806266266,0.719996997,6535
1491956.26242545,815272.365805169,6534,1.4919562624,0.8152723658,6534
1425104.37375746,800696.819085487,6530,1.4251043738,0.8006968191,6530
1441057.4826561,1019620.41625372,6528,1.4410574827,1.0196204163,6528
1427407.37051793,864349.601593626,6526,1.4274073705,0.8643496016,6526
1465573.13432836,865839.800995025,6526,1.4655731343,0.865839801,6526
1307778.33001988,750170.97415507,6526,1.30777833,0.7501709742,6526
1302416.33466135,844619.521912351,6525,1.3024163347,0.8446195219,6525
1412186.25498008,734246.015936255,6523,1.412186255,0.7342460159,6523
1281023.83316783,880780.536246276,6521,1.2810238332,0.8807805362,6521
1311084.40913605,831955.312810328,6520,1.3110844091,0.8319553128,6520
1234232.07171315,1046855.57768924,6519,1.2342320717,1.0468555777,6519
1340662.68656716,1032642.78606965,6515,1.3406626866,1.0326427861,6515
1244595.42743539,1210627.23658052,6515,1.2445954274,1.2106272366,6515
1541240.55666004,991115.308151093,6515,1.5412405567,0.9911153082,6515
1320052.73631841,1003623.88059702,6515,1.3200527363,1.0036238806,6515
1230245.52683897,745063.618290259,6513,1.2302455268,0.7450636183,6513
1179583.91261172,764794.438927508,6509,1.1795839126,0.7647944389,6509
1186665.33864542,604366.533864542,6507,1.1866653386,0.6043665339,6507
1233560.19900498,694860.696517413,6504,1.233560199,0.6948606965,6504
1253322.3880597,589543.28358209,6503,1.2533223881,0.5895432836,6503
1199096.42147117,733979.125248509,6500,1.1990964215,0.7339791252,6500
1244670.64676617,628186.069651741,6499,1.2446706468,0.6281860697,6499
1467742.28855721,727277.611940299,6497,1.4677422886,0.7272776119,6497
1296589.46322068,580783.300198807,6495,1.2965894632,0.5807833002,6495
1289833.33333333,652411.706349206,6495,1.2898333333,0.6524117063,6495
1227264.67661692,656011.940298508,6493,1.2272646766,0.6560119403,6493
1272479.60199005,763487.562189055,6489,1.272479602,0.7634875622,6489
1396949.45490585,649852.329038652,6489,1.3969494549,0.649852329,6489
1478860.55776892,744733.067729084,6489,1.4788605578,0.7447330677,6489
1319311.1332008,782889.662027833,6488,1.3193111332,0.782889662,6488
1218294.82071713,1037361.55378486,6486,1.2182948207,1.0373615538,6486
1172537.77335984,867580.516898608,6483,1.1725377734,0.8675805169,6483
1276026.86567164,798353.233830846,6482,1.2760268657,0.7983532338,6482
1352442.89970209,811902.68123138,6480,1.3524428997,0.8119026812,6480
1405404.38247012,942913.346613546,6480,1.4054043825,0.9429133466,6480
1271394.02985075,793793.034825871,6478,1.2713940299,0.7937930348,6478
1300968.2224429,981073.485600795,6474,1.3009682224,0.9810734856,6474
1170377.73359841,706419.483101392,6473,1.1703777336,0.7064194831,6473
1172313.74501992,886346.613545817,6472,1.172313745,0.8863466135,6472
1208636.8159204,859263.68159204,6472,1.2086368159,0.8592636816,6472
1240952.23880597,950149.253731343,6471,1.2409522388,0.9501492537,6471
1335713.43283582,998877.611940299,6470,1.3357134328,0.9988776119,6470
1408251.99203187,920593.625498008,6470,1.408251992,0.9205936255,6470
1316685.88469185,753265.407554672,6467,1.3166858847,0.7532654076,6467
1284583.08457711,767593.034825871,6467,1.2845830846,0.7675930348,6467
1318789.47368421,716327.706057597,6465,1.3187894737,0.7163277061,6465
1307331.67330677,783971.115537849,6462,1.3073316733,0.7839711155,6462
1161921.39303483,713723.383084577,6460,1.161921393,0.7137233831,6460
1094460.23856859,630904.572564612,6460,1.0944602386,0.6309045726,6460
1012549.70178926,802829.025844931,6460,1.0125497018,0.8028290258,6460
981066.666666667,689059.701492537,6456,0.9810666667,0.6890597015,6456
1024675.944334,860092.445328032,6454,1.0246759443,0.8600924453,6454
1148445.87884806,746694.14101291,6453,1.1484458788,0.746694141,6453
1249563.61829026,974343.93638171,6453,1.2495636183,0.9743439364,6453
1330396.41434263,1007991.03585657,6453,1.3303964143,1.0079910359,6453
1335295.22862823,1097101.3916501,6451,1.3352952286,1.0971013917,6451
1324497.51737835,1061504.46871897,6450,1.3244975174,1.0615044687,6450
1335292.82868526,1085997.01195219,6450,1.3352928287,1.085997012,6450
1322458.70646766,960111.44278607,6448,1.3224587065,0.9601114428,6448
1199500.99601594,1184530.87649402,6446,1.199500996,1.1845308765,6446
1192634.46215139,1032564.74103586,6445,1.1926344622,1.032564741,6445
1397540.29850746,1068897.51243781,6441,1.3975402985,1.0688975124,6441
1268393.84920635,807109.126984127,6440,1.2683938492,0.807109127,6440
1200790.67460317,935712.301587301,6439,1.2007906746,0.9357123016,6439
1190065.73705179,1074790.83665339,6439,1.1900657371,1.0747908367,6439
1266487.56218906,1181054.72636816,6439,1.2664875622,1.1810547264,6439
1220467.1314741,1030536.85258964,6438,1.2204671315,1.0305368526,6438
1156314.4278607,961257.711442786,6438,1.1563144279,0.9612577114,6438
1182755.46719682,816507.952286282,6436,1.1827554672,0.8165079523,6436
1137653.38645418,829266.932270916,6435,1.1376533865,0.8292669323,6435
1280470.64676617,771976.119402985,6434,1.2804706468,0.7719761194,6434
1257591.04477612,842238.805970149,6430,1.2575910448,0.842238806,6430
1247847.76119403,808101.492537313,6427,1.2478477612,0.8081014925,6427
1301372.13930348,1015755.2238806,6424,1.3013721393,1.0157552239,6424
1226704.47761194,1007858.70646766,6423,1.2267044776,1.0078587065,6423
1301996.0199005,969462.686567164,6422,1.3019960199,0.9694626866,6422
1201273.6318408,838173.134328358,6421,1.2012736318,0.8381731343,6421
1198456.26242545,832541.749502982,6421,1.1984562624,0.8325417495,6421
1292182.90258449,737829.02584493,6420,1.2921829026,0.7378290258,6420
1462349.60159363,873556.772908367,6418,1.4623496016,0.8735567729,6418
1365651.39442231,915700.199203187,6414,1.3656513944,0.9157001992,6414
1426988.11881188,1026222.77227723,6413,1.4269881188,1.0262227723,6413
1446994,1031345,6413,1.446994,1.031345,6413
1280965.17412935,1101554.22885572,6411,1.2809651741,1.1015542289,6411
1290801.19284294,936556.660039761,6411,1.2908011928,0.93655666,6411
1286600.19940179,987332.003988036,6410,1.2866001994,0.987332004,6410
1181847.44094488,784671.25984252,6408,1.1818474409,0.7846712598,6408
1035348.25870647,814080.597014925,6407,1.0353482587,0.814080597,6407
1161763.58148893,727501.006036217,6406,1.1617635815,0.727501006,6406
1073224.65208748,947867.793240557,6406,1.0732246521,0.9478677932,6406
1135035.85657371,809926.294820717,6406,1.1350358566,0.8099262948,6406
1050789.05472637,901948.258706468,6405,1.0507890547,0.9019482587,6405
1079557.97819623,761049.554013875,6405,1.0795579782,0.761049554,6405
1146138.72255489,788272.45508982,6404,1.1461387226,0.7882724551,6404
1163023.90438247,746854.581673307,6404,1.1630239044,0.7468545817,6404
1228886.45418327,874144.422310757,6403,1.2288864542,0.8741444223,6403
1088692.76511397,857817.64122894,6403,1.0886927651,0.8578176412,6403
1110335.32338308,908439.800995025,6402,1.1103353234,0.908439801,6402
1127294.52736318,748254.726368159,6400,1.1272945274,0.7482547264,6400
1212132.4828263,841568.204121688,6399,1.2121324828,0.8415682041,6399
1159803.41023069,698916.750250752,6399,1.1598034102,0.6989167503,6399
1119974.10358566,830280.876494024,6396,1.1199741036,0.8302808765,6396
1041426.86567164,649122.388059702,6396,1.0414268657,0.6491223881,6396
1082312.5,725726.19047619,6396,1.0823125,0.7257261905,6396
1116042.82868526,771402.390438247,6396,1.1160428287,0.7714023904,6396
1145891.43426295,714536.852589642,6396,1.1458914343,0.7145368526,6396
1252220.11952191,785235.059760956,6394,1.2522201195,0.7852350598,6394
1281508.96414343,635420.3187251,6393,1.2815089641,0.6354203187,6393
1336306.46766169,791086.567164179,6391,1.3363064677,0.7910865672,6391
1378672.39732569,622713.467048711,6390,1.3786723973,0.622713467,6390
1523090.24896266,797324.688796681,6388,1.523090249,0.7973246888,6388
1195544.91017964,560699.600798403,6388,1.1955449102,0.5606996008,6388
956559.372666169,773840.926064227,6387,0.9565593727,0.7738409261,6387
1752661.69895678,640470.938897168,6386,1.752661699,0.6404709389,6386
1172114.4278607,764357.213930348,6384,1.1721144279,0.7643572139,6384
1253760.19900498,642573.134328358,6383,1.253760199,0.6425731343,6383
